#EXPORTTYPE:                 ,DATA COMPARE                   
#FILE:                       ,LG.ngb-st9                     
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,PM                             
#DATE/TIME:                  ,15/01/2018 10:13:45 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,Frank                          
#REMARK:                     ,                               
#SAMPLE:                     ,LG                             
#SAMPLE MASS /mg:            ,17.9379                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,167.6485                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/900°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/900°C         

##Temp./°C,Mass loss/mg
 48.39800,-2.411878e-002
 48.49800,-2.449594e-002
 48.59800,-2.479904e-002
 48.69800,-2.517272e-002
 48.79800,-2.561041e-002
 48.89800,-2.630215e-002
 48.99800,-2.677043e-002
 49.09800,-2.741951e-002
 49.19800,-2.787470e-002
 49.29800,-2.841756e-002
 49.39800,-2.886960e-002
 49.49800,-2.931766e-002
 49.59800,-2.979949e-002
 49.69800,-3.041120e-002
 49.79800,-3.077991e-002
 49.89800,-3.124275e-002
 49.99800,-3.160993e-002
 50.09800,-3.207508e-002
 50.19800,-3.236616e-002
 50.29800,-3.297949e-002
 50.39800,-3.326332e-002
 50.49800,-3.354430e-002
 50.59800,-3.411659e-002
 50.69800,-3.448358e-002
 50.79800,-3.481014e-002
 50.89800,-3.502759e-002
 50.99800,-3.534832e-002
 51.09800,-3.560618e-002
 51.19800,-3.596485e-002
 51.29800,-3.632897e-002
 51.39800,-3.642447e-002
 51.49800,-3.679913e-002
 51.59800,-3.709549e-002
 51.69800,-3.728382e-002
 51.79800,-3.757134e-002
 51.89800,-3.785296e-002
 51.99800,-3.803167e-002
 52.09800,-3.832695e-002
 52.19800,-3.850090e-002
 52.29800,-3.875278e-002
 52.39800,-3.922114e-002
 52.49800,-3.956352e-002
 52.59800,-4.015107e-002
 52.69800,-4.072217e-002
 52.79800,-4.137657e-002
 52.89800,-4.207333e-002
 52.99800,-4.271962e-002
 53.09800,-4.332785e-002
 53.19800,-4.392880e-002
 53.29800,-4.440737e-002
 53.39800,-4.512853e-002
 53.49800,-4.561050e-002
 53.59800,-4.622744e-002
 53.69800,-4.669100e-002
 53.79800,-4.718924e-002
 53.89800,-4.769758e-002
 53.99800,-4.819906e-002
 54.09800,-4.870576e-002
 54.19800,-4.923054e-002
 54.29800,-4.964643e-002
 54.39800,-5.015139e-002
 54.49800,-5.057114e-002
 54.59800,-5.107624e-002
 54.69800,-5.154898e-002
 54.79800,-5.183498e-002
 54.89800,-5.265031e-002
 54.99800,-5.305434e-002
 55.09800,-5.364297e-002
 55.19800,-5.411726e-002
 55.29800,-5.465010e-002
 55.39800,-5.514835e-002
 55.49800,-5.567348e-002
 55.59800,-5.610693e-002
 55.69800,-5.663930e-002
 55.79800,-5.715386e-002
 55.89800,-5.767909e-002
 55.99800,-5.809475e-002
 56.09800,-5.859683e-002
 56.19800,-5.908578e-002
 56.29800,-5.959591e-002
 56.39800,-6.011651e-002
 56.49800,-6.072634e-002
 56.59800,-6.131032e-002
 56.69800,-6.203585e-002
 56.79800,-6.258189e-002
 56.89800,-6.334578e-002
 56.99800,-6.381500e-002
 57.09800,-6.443482e-002
 57.19800,-6.513829e-002
