"","gf","meansla","meanldmc","meanlnc","meanlcc","meanhc","meancl","meanlg"
"1","F",1.26220761620759,195.780517358863,1.30987,41.672,15.9500127008049,12.9586653670054,31.6254774038492
"2","G",0.364848259537366,333.165439719651,0.828856428571429,42.733,20.0935635197215,17.9094546753138,29.3908348008171
"3","NV",0.541287645467026,519.189942322359,0.37045,42.989,17.8975136787195,18.4375453515067,30.6411454387428
"4","S",0.0934537886583894,546.462071812594,0.86048,45.023,15.4383667295769,16.2138180242807,34.2243874398455
"5","T",0.428189775147363,440.531606377445,1.6267475,48.61875,11.1368818682503,7.40815113585433,49.8172016009118
