"species_code" "SLA" "LDMC" "sp_abrev" "species" "family" "gf" "LCC" "LNC" "HC_1" "HC_2" "CL" "LG" "HC"
"23" "Q" 0.595844851652611 364.585613973081 "A. dealbata" "Acacia dealbata" "Fabaceae" "T" 50.19 3.6029 NA 7.79574449605937 8.03253372924415 55.7019542850944 7.79574449605937
"17" "L" 0.538221808862305 274.999773536507 "A. denticulata" "Alternanthera denticulata" "Amaranthaceae" "F" 41.203 1.3268 NA 15.6022590282161 17.3883610929387 32.7046733107091 15.6022590282161
"13" "J" 0.19896320110037 321.556374418688 "B. articulata" "Baumea articulata" "Cyperaceae" "G" 44.915 0.60412 NA 21.7124278163865 21.5239812606362 28.3886724607607 21.7124278163865
"29" "Z" 0.235143184297362 405.043401119272 "B. rubiginosa" "Baumea rubiginosa" "Cyperaceae" "G" 42.147 0.20344 NA 24.5112478199861 17.0177611261876 26.9691966835343 24.5112478199861
"4" "C" 0.259127435182722 395.987484522958 "C. appressa" "Carex appressa" "Cyperaceae" "G" 42.335 0.50178 NA 20.5627623834962 20.0321063580028 27.6840827978005 20.5627623834962
"8" "FF" 0.450999641004295 299.763271870152 "C. fascicularis" "Carex fascicularis" "Cyperaceae" "G" 42.209 0.77494 NA 15.8771187718552 18.4963787601341 27.1205589155039 15.8771187718552
"7" "E" 1.47604258986488 96.6332147485297 "C. helmsii" "Crassula helmsii" "Crassulaceae" "F" 36.411 0.77765 NA 14.2127306525095 8.65803722588599 31.3141304679441 14.2127306525095
"5" "CC" 0.901826181909068 100.813597851095 "C. procerum" "Cycnogeton procerum" "Juncaginaceae" "G" 37.636 3.1817 6.19406906691478 9.32708798305838 10.9508706997888 33.7995501333753 15.5211570499732
"2" "B" 0.418844753470615 253.473501840945 "C. eragrostis" "Cyperus eragrostis" "Cyperaceae" "G" 40.458 0.58545 5.72830446572846 25.3499298141014 13.0061804929649 22.9313865665403 31.0782342798299
"15" "K" 0.941192751574301 158.370383253877 "E. acuta" "Eleocharis acuta" "Cyperaceae" "G" 41.006 1.6467 NA 14.4654860358214 18.169414022184 31.8682559181553 14.4654860358214
"24" "R" 0.717535906298268 452.871211754151 "E. camaldulensis" "Eucalyptus camaldulensis" "Myrtaceae" "T" 48.45 1.4169 NA 15.1065690396294 7.16536040476804 43.9907459934602 15.1065690396294
"21" "N" 0.223590140849285 432.987955686212 "G. filum" "Gahnia filum" "Cyperaceae" "G" 44.13 0.23394 NA 21.9873295940293 21.771943721383 27.8712087793443 21.9873295940293
"1" "A" 0.152139386483157 450.972256407078 "J. amabilis" "Juncus amabilis" "Juncaceae" "G" 45.282 0.77926 NA 21.5530141736076 17.6844499689864 30.4856679035907 21.5530141736076
"12" "II" 0.262291208446106 352.04002054626 "J. procerus" "Juncus procerus" "Juncaceae" "G" 43.119 0.46373 NA 20.4730382307459 13.2879221214172 32.1098121780858 20.4730382307459
"28" "X" 0.877197312736989 325.894841588592 "L. australis" "Lycopus australis" "Lamiaceae" "F" 45.314 0.9427 NA 14.41574044167 18.7964753528803 34.1034625777184 14.41574044167
"10" "H" 2.27047766592922 208.77896827539 "M. drumondii" "Marsilea drummondii" "Marsileaceae" "F" 42.538 1.0208 4.81500105188925 13.8351936078981 13.8300691807209 30.7797429784904 18.6501946597873
"3" "BB" 0.220674310106925 456.115148687168 "M. ericifolia" "Melaleuca ericifolia" "Myrtaceae" "T" 46.652 0.81639 NA 13.2342662408799 7.19002592808634 46.2423714795925 13.2342662408799
"16" "KK" 0.178704032531646 488.554451095381 "M. squarrosa" "Melaleuca squarrosa" "Myrtaceae" "T" 49.183 0.6708 NA 8.41094769643257 7.24468448131877 53.3337346455001 8.41094769643257
"22" "NN" 0.0934537886583894 546.462071812594 "M. florulenta" "Meuhlenbeckia florulenta" "Polygonaceae" "S" 45.023 0.86048 NA 15.4383667295769 16.2138180242807 34.2243874398455 15.4383667295769
"19" "M" 0.527694601648947 180.466748389566 "M. crispatum" "Myriophyllum crispatum" "Haloragaceae" "F" 39.333 1.0957 NA 14.4557670024124 10.5677125651361 27.6923269745965 14.4557670024124
"26" "T" 1.50150430074451 185.529670074484 "N. alba" "Nymphaea alba" "Nymphaeaceae" "F" 42.716 2.7909 NA 13.0407391992262 12.3198753956893 35.125680959259 13.0407391992262
"11" "I" 0.0726908972933552 283.177451619033 "P. distichum" "Paspalum distichum" "Poaceae" "G" 40.36 0.30087 NA 17.9465214034023 26.4771628950458 22.2274817552107 17.9465214034023
"27" "V" 0.952830908761277 175.60867545498 "P. decipiens" "Persicaria decipiens" "Polygonaceae" "F" 43.681 0.60748 NA 17.1506903517334 12.9569883494638 29.842262186879 17.1506903517334
"20" "MM" 0.966116311912715 227.087130023176 "P. prostrata" "Persicaria prostrata" "Polygonaceae" "F" 44.779 1.1063 NA 20.6075808078127 12.7977494576793 31.4882030436772 20.6075808078127
"25" "S" 0.186555469948932 479.858886254049 "P. australis" "Phragmites australis" "Poaceae" "G" 44.618 1.1903 NA 18.8755554565642 18.3102679101265 33.1442080654419 18.8755554565642
"18" "LL" 0.349637015219855 442.604677742663 "R. tetraphyllus" "Restio tetraphyllus" "Restionaceae" "G" 46.153 0.14089 NA 22.4070329220042 18.4755513950708 31.1301481319384 22.4070329220042
"9" "G" 2.24978304540746 87.0256341385453 "R. crispus" "Rumex crispus" "Polygonaceae" "F" 39.073 2.1205 NA 15.4144121638766 9.31271968265454 31.5788141353695 15.4144121638766
