"species_code" "HC_1" "HC_2" "CL" "LG" "wt_type"
"97.5%25" "T" NA "16.5071811" "1.461999e+01" "40.11583" "97.5%"
"126" "V" NA "17.1506904" "1.295699e+01" "29.84226" "mean"
"2.5%26" "V" NA " 2.1690164" "7.279262e-01" "27.19532" "2.5%"
"97.5%26" "V" NA "36.4413628" "3.654417e+01" "32.79586" "97.5%"
"127" "X" NA "14.4157404" "1.879648e+01" "34.10346" "mean"
"2.5%27" "X" NA " 0.9430544" "4.849332e-06" "20.97995" "2.5%"
"97.5%27" "X" NA "62.9941948" "4.534897e+01" "45.85764" "97.5%"
"128" "Z" NA "24.5112478" "1.701776e+01" "26.96920" "mean"
"2.5%28" "Z" NA "22.7675604" "1.629028e+01" "25.57207" "2.5%"
"97.5%28" "Z" NA "26.1484682" "1.783151e+01" "28.31557" "97.5%"
